date,contractSymbol,underlying,optionType,strike,impliedVolatility,volume,mid_price,realizedPL
2025-06-06,AAPL250606C00315000,AAPL,call,315.0,0.98437515625,,0.005,-0.005
2025-06-06,AAPL250606C00320000,AAPL,call,320.0,1.0312548437500002,,0.005,-0.005
2025-06-06,AAPL250606C00325000,AAPL,call,325.0,1.0625046875000002,142.0,0.005,-0.005
2025-06-06,AAPL250606P00110000,AAPL,put,110.0,1.3437532812499997,42.0,0.005,-0.005
2025-06-06,AAPL250606P00120000,AAPL,put,120.0,1.15625421875,89.0,0.005,-0.005
2025-06-06,AAPL250606P00125000,AAPL,put,125.0,1.09375453125,8.0,0.005,-0.005
2025-06-06,AAPL250606P00130000,AAPL,put,130.0,0.98437515625,1.0,0.005,-0.005
2025-06-06,AAPL250606P00135000,AAPL,put,135.0,0.9062509375,1.0,0.005,-0.005
2025-06-06,AAPL250606P00140000,AAPL,put,140.0,0.8437515624999999,2.0,0.005,-0.005
2025-06-06,AAPL250606P00145000,AAPL,put,145.0,0.7500025,130.0,0.005,-0.005
2025-06-06,AAPL250606P00150000,AAPL,put,150.0,0.7578149218750001,204.0,0.015,-0.015
2025-06-06,AAPL250606P00155000,AAPL,put,155.0,0.70312796875,58.0,0.02,-0.02
2025-06-06,AAPL250606P00160000,AAPL,put,160.0,0.648441015625,3297.0,0.03,-0.03
2025-06-06,AAPL250606P00165000,AAPL,put,165.0,0.570316796875,350.0,0.03,-0.03
2025-06-06,AAPL250606P00170000,AAPL,put,170.0,0.52539537109375,689.0,0.05,-0.05
2025-06-06,AAPL250606P00172500,AAPL,put,172.5,0.507817421875,975.0,0.06,-0.06
2025-06-06,AAPL250606P00175000,AAPL,put,175.0,0.47461462890625,1588.0,0.07,-0.07
2025-06-06,AAPL250606P00177500,AAPL,put,177.5,0.44727115234375,702.0,0.09,-0.09
2025-06-06,AAPL250606P00180000,AAPL,put,180.0,0.42188078125,8335.0,0.12,-0.12
2025-06-06,AAPL250606P00182500,AAPL,put,182.5,0.3911193701171874,2959.0,0.155,-0.155
2025-06-06,AAPL250606P00185000,AAPL,put,185.0,0.3711000390625,2425.0,0.22,-0.22
2025-06-06,AAPL250606P00187500,AAPL,put,187.5,0.352545537109375,4706.0,0.33,-0.33
2025-06-06,AAPL250606P00190000,AAPL,put,190.0,0.3366765551757812,8363.0,0.505,-0.505
2025-06-06,AAPL250606P00192500,AAPL,put,192.5,0.3220282641601562,5452.0,0.785,-0.785
2025-06-06,AAPL250606P00195000,AAPL,put,195.0,0.3115303222656249,12049.0,1.23,-1.23
2025-06-06,AAPL250606P00197500,AAPL,put,197.5,0.30274134765625,11001.0,1.89,-1.89
2025-06-06,AAPL250606P00200000,AAPL,put,200.0,0.2941965112304687,11937.0,2.81,-2.81
2025-06-06,AAPL250606P00202500,AAPL,put,202.5,0.2878489184570311,1513.0,4.025,-2.3750061035156254
2025-06-06,AAPL250606P00205000,AAPL,put,205.0,0.2861399511718749,1194.0,5.6,-1.4500061035156246
2025-06-06,AAPL250606P00207500,AAPL,put,207.5,0.3002999658203125,136.0,7.475,-0.8250061035156246
2025-06-06,AAPL250606P00210000,AAPL,put,210.0,0.327155166015625,283.0,9.625,-0.475006103515625
2025-06-06,AAPL250606P00212500,AAPL,put,212.5,0.3740296972656249,57.0,11.95,-0.3000061035156243
2025-06-06,AAPL250606P00215000,AAPL,put,215.0,0.398443515625,200.0,14.375,-0.225006103515625
2025-06-06,AAPL250606P00217500,AAPL,put,217.5,0.4252987158203125,3.0,16.525,0.1249938964843764
2025-06-06,AAPL250606P00220000,AAPL,put,220.0,0.5400436621093752,1314.0,19.225,-0.0750061035156264
2025-06-06,AAPL250606P00222500,AAPL,put,222.5,0.6313513427734375,4.0,21.825,-0.1750061035156243
2025-06-06,AAPL250606P00225000,AAPL,put,225.0,0.5898478515625001,2.0,24.15,-6.1035156235789145e-06
2025-06-06,AAPL250606P00227500,AAPL,put,227.5,0.6958038232421876,1.0,26.75,-0.100006103515625
2025-06-06,AAPL250606P00230000,AAPL,put,230.0,0.7182645361328125,1.0,29.225,-0.0750061035156264
2025-06-06,AAPL250606P00232500,AAPL,put,232.5,0.7597680273437502,137.0,31.7,-0.0500061035156242
2025-06-06,AAPL250606P00235000,AAPL,put,235.0,0.5546919531250001,60.0,34.275,-0.1250061035156235
2025-06-06,AAPL250606P00240000,AAPL,put,240.0,0.5742230078125,1.0,39.225,-0.0750061035156264
2025-06-06,AAPL250606P00245000,AAPL,put,245.0,0.6543003320312502,1.0,44.25,-0.100006103515625
2025-06-06,AAPL250606P00250000,AAPL,put,250.0,0.6015664843750002,1.0,49.175,-0.0250061035156221
2025-06-06,AAPL250606P00255000,AAPL,put,255.0,0.789064609375,3.0,54.275,-0.1250061035156235
2025-06-06,AAPL250606P00290000,AAPL,put,290.0,0.95312546875,1.0,89.17500000000001,-0.0250061035156363
2025-06-06,AAPL250606P00295000,AAPL,put,295.0,1.486330693359375,1.0,94.075,0.0749938964843721
